POPULASI AWAL 
POWER OUTPUT 
	|Unit1	Unit2	Unit3	Unit4	Unit5	Unit6	Unit7	Unit8	Unit9	Unit10	Unit11	Unit12	Unit13	Unit14	Unit15	Unit16	Unit17	Unit18	Unit19	Unit20	Unit21	Unit22	Unit23	Unit24	Unit25	Unit26	
Jam 1	|12	12	12	12	12	20	20	20	20	76	76	76	76	100	100	100	155	155	155	155	197	197	197	350	400	400	
Jam 2	|12	12	12	12	12	20	20	20	20	76	76	76	76	100	100	100	155	155	155	155	197	197	197	350	400	400	
Jam 3	|12	12	12	12	12	20	20	20	20	76	76	76	76	100	100	100	155	155	155	155	197	197	197	350	400	400	
Jam 4	|12	12	12	12	12	20	20	20	20	76	76	76	76	100	100	100	155	155	155	155	197	197	197	350	400	400	
Jam 5	|12	12	12	12	12	20	20	20	20	76	76	76	76	100	100	100	155	155	155	155	197	197	197	350	400	400	
Jam 6	|12	12	12	12	12	20	20	20	20	76	76	76	76	100	100	100	155	155	155	155	197	197	197	350	400	400	
Jam 7	|12	12	12	12	12	20	20	20	20	76	76	76	76	100	100	100	155	155	155	155	197	197	197	350	400	400	
Jam 8	|12	12	12	12	12	20	20	20	20	76	76	76	76	100	100	100	155	155	155	155	197	197	197	350	400	400	
Jam 9	|12	12	12	12	12	20	20	20	20	76	76	76	76	100	100	100	155	155	155	155	197	197	197	350	400	400	
Jam 10	|12	12	12	12	12	20	20	20	20	76	76	76	76	100	100	100	155	155	155	155	197	197	197	350	400	400	
Jam 11	|12	12	12	12	12	20	20	20	20	76	76	76	76	100	100	100	155	155	155	155	197	197	197	350	400	400	
Jam 12	|12	12	12	12	12	20	20	20	20	76	76	76	76	100	100	100	155	155	155	155	197	197	197	350	400	400	
Jam 13	|12	12	12	12	12	20	20	20	20	76	76	76	76	100	100	100	155	155	155	155	197	197	197	350	400	400	
Jam 14	|12	12	12	12	12	20	20	20	20	76	76	76	76	100	100	100	155	155	155	155	197	197	197	350	400	400	
Jam 15	|12	12	12	12	12	20	20	20	20	76	76	76	76	100	100	100	155	155	155	155	197	197	197	350	400	400	
Jam 16	|12	12	12	12	12	20	20	20	20	76	76	76	76	100	100	100	155	155	155	155	197	197	197	350	400	400	
Jam 17	|12	12	12	12	12	20	20	20	20	76	76	76	76	100	100	100	155	155	155	155	197	197	197	350	400	400	
Jam 18	|12	12	12	12	12	20	20	20	20	76	76	76	76	100	100	100	155	155	155	155	197	197	197	350	400	400	
Jam 19	|12	12	12	12	12	20	20	20	20	76	76	76	76	100	100	100	155	155	155	155	197	197	197	350	400	400	
Jam 20	|12	12	12	12	12	20	20	20	20	76	76	76	76	100	100	100	155	155	155	155	197	197	197	350	400	400	
Jam 21	|12	12	12	12	12	20	20	20	20	76	76	76	76	100	100	100	155	155	155	155	197	197	197	350	400	400	
